obp,voc_idx,pred_pki,real_pki,error,T_max,n_donors
AaegOBP22,39,5.4,5.58,-0.18,0.52,1
AaegOBP22,81,5.58,5.4,0.18,0.52,1
AbamOBP28,3,4.97,5.04,-0.07,0.41,2
AbamOBP28,7,4.77,5.23,-0.46,0.79,2
AbamOBP28,10,4.81,4.95,-0.14,1.0,3
AbamOBP28,11,5.19,4.69,0.5,0.79,2
AbamOBP28,17,4.83,4.93,-0.1,1.0,3
AbamOBP28,20,4.63,4.59,0.04,0.38,1
AbamOBP28,21,4.86,5.0,-0.14,1.0,1
AbamOBP28,38,5.0,4.86,0.14,1.0,1
AbamOBP28,45,4.63,4.85,-0.22,0.39,1
AbamOBP28,80,4.73,4.63,0.1,0.39,2
AbamOBP28,151,4.76,4.48,0.28,1.0,4
AbamOBP28,194,4.63,4.69,-0.06,1.0,4
AbamOBP28,540,4.91,4.61,0.3,1.0,1
AbamOBP28,541,4.61,4.91,-0.3,1.0,1
AbamOBP28,616,4.59,4.64,-0.05,0.35,2
AcerASP1,12,4.87,3.82,1.05,0.45,1
AcerASP1,164,3.82,4.87,-1.05,0.45,1
AcerASP1,201,4.01,4.97,-0.96,0.36,1
AcerASP1,260,4.97,4.01,0.96,0.36,1
AcerCSP1,12,5.21,5.04,0.17,0.45,1
AcerCSP1,14,5.04,5.73,-0.69,0.95,1
AcerCSP1,164,5.04,5.21,-0.17,0.45,1
AcerCSP1,179,5.73,5.04,0.69,0.95,1
AcerCSP2,12,4.62,4.29,0.33,0.45,1
AcerCSP2,14,4.3,5.46,-1.16,0.95,1
AcerCSP2,36,5.37,4.22,1.16,0.5,2
AcerCSP2,164,4.29,4.62,-0.33,0.45,1
AcerCSP2,179,5.46,4.3,1.16,0.95,1
AcerCSP2,356,4.83,5.97,-1.14,0.77,2
AcerCSP2,533,5.45,5.0,0.45,0.77,2
AcerCSP4,12,4.84,4.4,0.44,0.45,1
AcerCSP4,23,3.51,3.76,-0.25,1.0,1
AcerCSP4,164,4.4,4.84,-0.44,0.45,1
AcerCSP4,179,3.76,3.51,0.25,1.0,1
AcerOBP2,12,5.12,5.08,0.04,0.45,1
AcerOBP2,23,4.19,5.26,-1.07,1.0,1
AcerOBP2,164,5.08,5.12,-0.04,0.45,1
AcerOBP2,179,5.26,4.19,1.07,1.0,1
AcerOBP10,12,4.96,4.3,0.66,0.45,1
AcerOBP10,23,4.68,4.4,0.28,1.0,1
AcerOBP10,164,4.3,4.96,-0.66,0.45,1
AcerOBP10,179,4.4,4.68,-0.28,1.0,1
AcerOBP11,3,5.16,4.97,0.19,0.44,4
AcerOBP11,11,4.97,5.02,-0.05,0.4,1
AcerOBP11,12,5.87,5.17,0.7,0.45,1
AcerOBP11,14,5.12,5.33,-0.2,0.95,3
AcerOBP11,16,5.3,5.55,-0.26,0.43,4
AcerOBP11,23,5.24,5.07,0.17,1.0,3
AcerOBP11,36,5.3,5.36,-0.07,0.57,5
AcerOBP11,164,5.17,5.87,-0.7,0.45,1
AcerOBP11,179,5.17,5.21,-0.04,1.0,3
AcerOBP11,187,5.41,5.11,0.3,0.57,4
AcerOBP11,201,5.31,5.57,-0.26,0.36,1
AcerOBP11,260,5.57,5.31,0.26,0.36,1
AcerOBP11,344,5.36,5.18,0.19,0.43,1
AcerOBP11,396,5.34,5.36,-0.02,0.64,4
AcerOBP11,397,5.32,5.42,-0.1,0.64,4
AfasOBP11,3,4.66,4.66,0.0,0.83,4
AfasOBP11,5,4.66,4.66,0.0,0.42,1
AfasOBP11,6,4.66,4.66,0.0,0.36,1
AfasOBP11,7,4.66,4.66,0.0,0.53,3
AfasOBP11,8,4.66,4.66,0.0,0.46,4
AfasOBP11,9,4.66,4.66,0.0,0.37,1
AfasOBP11,10,4.86,4.66,0.2,1.0,5
AfasOBP11,15,4.85,4.66,0.19,0.94,5
AfasOBP11,16,4.69,4.66,0.03,0.92,5
AfasOBP11,24,4.66,4.66,0.0,0.38,1
AfasOBP11,28,4.76,5.05,-0.29,1.0,5
AfasOBP11,30,4.66,4.66,0.0,0.83,4
AfasOBP11,35,4.76,5.02,-0.26,1.0,5
AfasOBP11,36,4.66,4.66,0.0,0.94,5
AfasOBP11,43,4.7,4.66,0.04,0.61,5
AfasOBP11,48,4.71,4.66,0.06,0.83,5
AfasOBP11,64,4.66,4.66,0.0,0.82,5
AfasOBP11,71,4.71,4.66,0.05,0.83,5
AfasOBP11,72,4.83,4.66,0.17,0.81,5
AfasOBP11,80,4.66,4.66,0.0,0.38,1
AfasOBP11,91,4.66,4.82,-0.16,0.83,5
AfasOBP11,92,4.66,4.66,0.0,0.41,4
AfasOBP11,99,4.66,4.66,0.0,0.57,3
AfasOBP11,103,4.69,4.66,0.03,0.95,5
AfasOBP11,120,4.69,4.66,0.03,0.52,5
AfasOBP11,127,4.66,4.66,0.0,0.92,4
AfasOBP11,144,4.66,4.66,0.0,0.37,1
AfasOBP11,185,4.66,4.66,0.0,0.41,2
AfasOBP11,194,4.79,4.66,0.13,0.62,5
AfasOBP11,238,4.66,4.66,0.0,0.94,5
AfasOBP11,269,4.68,4.66,0.03,0.95,5
AfasOBP11,282,4.66,4.66,0.0,0.35,1
AfasOBP11,410,5.84,5.08,0.77,0.45,1
AfasOBP11,587,5.08,5.84,-0.77,0.45,1
AgamSAP1,2,4.48,4.82,-0.33,0.61,1
AgamSAP1,54,5.19,4.94,0.25,1.0,4
AgamSAP1,78,5.17,5.3,-0.13,0.4,3
AgamSAP1,109,5.16,5.27,-0.11,0.47,3
