t_min,k,p,RMSE,n_predits,cobertura
0.35,5,2.0,0.34,5708,0.73
0.35,8,2.0,0.34,5708,0.73
0.55,5,2.0,0.34,3666,0.47
0.55,3,2.0,0.34,3666,0.47
0.35,5,1.0,0.34,5708,0.73
0.55,3,1.0,0.34,3666,0.47
0.35,8,1.0,0.34,5708,0.73
0.55,8,2.0,0.34,3666,0.47
0.55,5,1.0,0.34,3666,0.47
0.35,3,2.0,0.34,5708,0.73
0.35,3,1.0,0.35,5708,0.73
0.55,8,1.0,0.35,3666,0.47
0.3,5,2.0,0.35,6315,0.8
0.3,8,2.0,0.35,6315,0.8
0.3,5,1.0,0.35,6315,0.8
0.3,8,1.0,0.35,6315,0.8
0.3,3,2.0,0.35,6315,0.8
0.3,3,1.0,0.35,6315,0.8
0.45,5,2.0,0.35,4461,0.57
0.45,5,1.0,0.36,4461,0.57
0.45,8,2.0,0.36,4461,0.57
0.45,3,2.0,0.36,4461,0.57
0.45,3,1.0,0.36,4461,0.57
0.45,8,1.0,0.36,4461,0.57
