OBP,n_measured,n_used,Ki_min_uM,Ki_max_uM,std_pki,range_pki,has_fort,has_mitja,has_fluix,range_class,mean_tanimoto,n_pairs_chem,chem_class,combined_type
CpalOBP2,83,83,0.37,22.0,0.261,1.774,True,True,False,tot fort,0.151,3403,químicament divers,SOSPITÓS (uneix fort coses diferents)
CpalOBP3,83,83,0.28,22.0,0.328,1.895,True,True,False,tot fort,0.151,3403,químicament divers,SOSPITÓS (uneix fort coses diferents)
CpalOBP6,83,83,0.63,22.0,0.32,1.543,True,True,False,tot fort,0.151,3403,químicament divers,SOSPITÓS (uneix fort coses diferents)
CninOBP1,77,77,1.85,22.0,0.22,1.075,True,True,False,tot fort,0.156,2926,químicament divers,SOSPITÓS (uneix fort coses diferents)
CninOBP9,77,77,4.61,22.0,0.077,0.679,True,True,False,tot fort,0.156,2926,químicament divers,SOSPITÓS (uneix fort coses diferents)
AlinOBP11,45,45,2.63,33.0,0.239,1.099,True,True,False,tot fort,0.148,990,químicament divers,SOSPITÓS (uneix fort coses diferents)
CmedCSP3,34,34,2.3,22.0,0.284,0.981,True,True,False,tot fort,0.163,561,químicament divers,SOSPITÓS (uneix fort coses diferents)
CmedCSP1,33,33,3.24,22.0,0.277,0.832,True,True,False,tot fort,0.161,528,químicament divers,SOSPITÓS (uneix fort coses diferents)
CmedCSP2,33,33,2.53,22.0,0.256,0.939,True,True,False,tot fort,0.161,528,químicament divers,SOSPITÓS (uneix fort coses diferents)
AcerOBP11,22,22,1.35,10.74,0.214,0.901,True,True,False,tot fort,0.137,231,químicament divers,SOSPITÓS (uneix fort coses diferents)
SzeaOBP1,22,22,2.75,30.27,0.266,1.042,True,True,False,tot fort,0.199,231,químicament divers,SOSPITÓS (uneix fort coses diferents)
AgamOBP4,20,20,1.4,15.3,0.332,1.039,True,True,False,tot fort,0.18,190,químicament divers,SOSPITÓS (uneix fort coses diferents)
McinOBP4,20,20,4.12,36.57,0.211,0.948,True,True,False,tot fort,0.155,190,químicament divers,SOSPITÓS (uneix fort coses diferents)
CcapOBP83a-2,19,19,0.79,6.77,0.244,0.933,True,True,False,tot fort,0.144,171,químicament divers,SOSPITÓS (uneix fort coses diferents)
CpinGOBP1,19,19,3.05,11.0,0.229,0.557,True,True,False,tot fort,0.183,171,químicament divers,SOSPITÓS (uneix fort coses diferents)
CpinPBP1,19,19,1.43,11.0,0.219,0.886,True,True,False,tot fort,0.183,171,químicament divers,SOSPITÓS (uneix fort coses diferents)
CpinPBP3,19,19,2.67,11.0,0.19,0.615,True,True,False,tot fort,0.183,171,químicament divers,SOSPITÓS (uneix fort coses diferents)
CsinGOBP1,19,19,4.83,33.0,0.226,0.835,True,True,False,tot fort,0.115,171,químicament divers,SOSPITÓS (uneix fort coses diferents)
DcitOBP3,17,17,3.51,9.05,0.117,0.411,True,True,False,tot fort,0.107,136,químicament divers,SOSPITÓS (uneix fort coses diferents)
MperOBP3,17,17,2.5,9.8,0.152,0.593,True,True,False,tot fort,0.124,136,químicament divers,SOSPITÓS (uneix fort coses diferents)
MperOBP9,17,17,2.0,29.4,0.296,1.167,True,True,False,tot fort,0.124,136,químicament divers,SOSPITÓS (uneix fort coses diferents)
OcorOBP1,16,16,1.8,12.0,0.286,0.824,True,True,False,tot fort,0.147,120,químicament divers,SOSPITÓS (uneix fort coses diferents)
SaveOBP7,15,15,1.3,20.5,0.289,1.198,True,True,False,tot fort,0.166,105,químicament divers,SOSPITÓS (uneix fort coses diferents)
OcorOBP3,14,14,3.3,10.0,0.137,0.481,True,True,False,tot fort,0.156,91,químicament divers,SOSPITÓS (uneix fort coses diferents)
