obp_name,kd_nm_experimental,docking_score_kcal,kd_diana_nm,kd_interferent_nm,si_index,score_norm,kd_norm,si_norm,score_final
CpinPBP2,1870,-5.405,109028.3,4007782.2,36.76,0.9722222222222227,0.9999999999998395,0.8975733634058248,0.956
CpinGOBP1,3730,-5.443,102254.2,4129652.7,40.39,1.0,0.7014446227928247,0.9999999999717833,0.901
SmosOBP12,5290,-4.311,691133.5,3421066.6,4.95,0.17251461988304084,0.4510433386837157,0.0,0.206
MsepCSP5,6430,-4.372,623508.3,4834011.9,7.75,0.2171052631578946,0.2680577849116744,0.07900677200680004,0.187
CquiOBP5,8100,-4.075,1029380.5,8658870.6,8.41,-0.0,0.0,0.09762979683697434,0.033
